Dog,Sex,Age,FDPhase,OwnerFirst_0.StrangerFirst_1,Order,StressSignals_BOw,StressSignals_BStr,StressSignals_FDOw,StressSignals_FDStr,StressSignals_POw,StressSignals_PStr,InteractionWithOwner_Bow,InteractionWithOwner_BStr,InteractionWithOwner_FDOw,InteractionWithOwner_FDStr,InteractionWithOwner_POw,InteractionWithOwner_PStr,InteractionWithStranger_BOw,InteractionWithStranger_BStr,InteractionWithStranger_FDOw,InteractionWithStranger_FDStr,InteractionWithStranger_POw,InteractionWithStranger_PStr,Vocalizations_BOw,Vocalizations_BStr,Vocalizations_FDOw,Vocalizations_FDStr,Vocalizations_POw,Vocalizations_PStr,ExploreRoom_BOw,ExploreRoom_BStr,ExploreRoom_FDOw,ExploreRoom_FDStr,ExploreRoom_POw,ExploreRoom_PStr,LookAtObject_BOw,LookAtObject_BStr,LookAtObject_FDOw,LookAtObject_FDStr,LookAtObject_POw,LookAtObject_PStr,InteractionWithObject_BOw,InteractionWithObject_BStr,InteractionWithObject_FDOw,InteractionWithObject_FDStr,InteractionWithObject_POw,InteractionWithObject_PStr,Chew_Bow,Chew_BStr,Chew_FDOw,Chew_FDStr,Chew_POw,Chew_PStr,Bite_BOw,Bite_BStr,Bite_FDOw,Bite_FDStr,Bite_POw,Bite_PStr,OrientationToDoor_BOw,OrientationToDoor_BStr,OrientationToDoor_FDOw,OrientationToDoor_FDStr,OrientationToDoor_POw,OrientationToDoor_PStr,SocialInvestigation_FDOw,SocialInvestigation_FDStr,AttentionToOwner_BOW,AttentionToOwner_BSTR,AttentionToOwner_FDOW,AttentionToOwner_FDSTR,AttentionToOwner_POW,AttentionToOwner_PSTR,AttentionToStranger_BOW,AttentionToStranger_BSTR,AttentionToStranger_FDOW,AttentionToStranger_FDSTR,AttentionToStranger_POW,AttentionToStranger_PSTR
54,F,3.5,2,0,B-FD-P,2,1,2,2,4,3,0,0.33,1.59,2.03,1.26,0,10,0,20.24,0,2.09,10.13,0,0,9.92,0,0,0,43.33,64.45,13.49,17.29,44.35,18.63,4.17,2.66,5.95,2.37,5.86,2.29,0,3.32,1.19,2.71,15.48,0.33,0,0,0,0,0,0,0,0,0,0,0,0,8.33,6.64,2.38,0,2.93,8.17,11.51,0,5.42,3.99,29.76,30.17,9.62,10.46,3.75,10.3,6.35,30.17,1.67,19.28
55,M,5,3,0,P-B-FD,1,10,1,4,0,1,0,0,0,0,0,0,1.56,0,0.4,0,0.78,0.97,1.95,3.24,0,1,0,6.17,59.14,24.27,17.79,26.91,33.2,62.66,0,0,15.02,35.88,1.17,0,0,0,33.2,12.62,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,14.01,10.68,2.77,2.99,16.8,6.17,23.32,0,5.45,13.27,4.74,14.62,20.31,7.14,0,1.29,0.4,13.62,2.34,0
56,M,5.5,2,1,B-FD-P,0,2,5,2,0,1,0.67,0,0,0,0,0,12.67,19.92,0,0.78,0.66,0,0,0,0,0,0,0,72.67,64.84,0,0,23.92,26.23,3.67,1.56,86.78,52.14,7.97,3.28,0,0,5.42,25.68,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16,1.02,0,43.19,29.1,0.68,12.06,0,0,0,5.45,0.66,1.64,0,3.52,0,5.45,1.33,0.41
57,M,3,1,1,FD-B-P,2,4,2,3,2,1,0,0,0,1.84,0,22.83,0,0,7.8,0,0,0,0,0,0,0,0,0,46.47,67.84,23.39,66.54,20.39,24.02,0,0.78,6.1,9.93,14.14,5.12,0,3.14,8.14,13.97,0,22.44,0,0,0,0,0,0,0,0,0,0,0,0,14.74,17.25,0,0,10.86,0,0,2.94,14.42,2.75,7.8,0.74,5.92,3.94,2.24,4.71,1.02,0.74,3.95,3.94
58,F,6.5,2,0,B-FD-P,0,0,0,0,0,1,1.82,0,0,0,1.12,0,2.19,0,1.88,0,4.1,0,0,0,0,0,0,0,70.44,87.42,35.34,78.62,41.79,42.38,0,0,28.2,0,1.87,0,0,0,6.02,0,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.17,0,1.87,30.46,1.88,0,6.57,4.64,2.26,3.29,6.72,16.89,15.69,7.95,5.26,3.29,8.96,4.64
59,F,3,1,1,FD-B-P,5,1,1,0,1,0,0,9.62,2.28,0.79,56.44,0,0,0,6.19,17.32,1.32,2.34,0,0,0,0,0,0,14.14,17.31,37.79,0,0,21.88,1.01,0,2.28,6.3,16.17,5.86,0,0,0,4.72,9.24,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,0,0,0,0,18.11,5.39,1.92,2.93,0.79,8.91,20.31,0,0,0,0.79,0,0
60,F,4,1,1,FD-B-P,0,1,2,3,1,8,0,0,0,0.78,0,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,3.53,8.22,29.07,17.92,2.02,0,9.41,17.81,24.81,6.51,0.81,0,8.63,25.68,25.19,4.23,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,18.15,0,0,9.02,5.14,15.89,12.05,13.71,0,1.96,3.77,15.89,1.63,3.63
61,M,10,1,1,FD-B-P,0,0,2,1,0,1,0,0,0,0,0,0,0,2.45,0,5.24,0,0,0,0,0,0,0,0,60.66,39.18,3.32,49.6,55.48,35.37,0,2.04,68.77,10.48,0,1.63,0,0,0,16.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.95,0,0,26.83,2.33,3.23,3.28,12.65,6.64,1.21,0,0,0,7.35,0,2.82,12.62,2.85
62,F,1,2,0,B-FD-P,1,7,1,1,0,0,0,0,0.73,0,1.09,0,0.74,0,0,0,0,0,0,0,2.56,0,0,0,56.3,44.3,2.93,13.67,1.81,3.88,0,0,23.44,0,3.62,0,0,0,35.16,10.33,1.09,0,0,0,1.1,8,12.32,0,0,0,0,0,0,0,1.85,0,0,0,0,0,25.64,0.67,2.59,0,0,4.67,5.43,0,2.22,0.65,0,3.33,0,1.94
63,M,2.5,1,0,FD-B-P,7,0,1,3,3,6,28.3,36.88,2.56,18.75,20.59,61.46,23.4,12.62,12.82,0.33,0,1.33,11.32,20.6,0,0,0,4.98,17.36,6.64,43.96,70.07,27.57,3.32,2.64,0,2.2,0,5.15,0,1.51,0,6.96,0,18.01,1.66,0,0,0,0,0,0,0,0,0,0,0,0,1.51,3.32,0,0,0,0,1.1,0,3.4,5.98,1.83,1.32,1.1,2.99,3.02,4.65,0,1.32,4.41,20.93
64,M,10,2,1,B-FD-P,1,3,1,1,0,0,2.32,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,38.41,76.83,18.48,7.35,2.66,64.05,2.32,0,17.49,27.35,0,3.31,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,97.34,20.66,0,0,4.97,3.09,5.61,5.71,0,2.89,6.95,2.32,1.65,4.49,0,9.09
65,M,1,2,1,B-FD-P,0,1,2,1,0,1,0,0,0.33,0,0,0,27.39,68.58,0,0,12.62,0,0,0,0,0,0,0,38.61,4.98,0,0,57.81,29.92,0,1.53,12.04,38.34,5.32,18.85,0,1.53,14.05,31.62,6.31,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.86,0,0,67.22,3.95,4.32,0,18.48,20.69,0,3.95,7.64,0
66,F,5,1,0,FD-B-P,2,0,8,8,4,3,2.63,0,0,0,0,0,0,0,0,0,0,0,13.53,42.05,0,17.16,12.17,42.95,5.26,3.64,32.6,17.82,52.85,3.61,0.75,0,2.56,3.63,0,0,0,0,3.3,0,16.73,0,0,0,0,0,0,0,0,0,0,0,0,0,75.19,81.13,28.21,40.26,8.37,1.97,0,0,9.4,14.9,3.3,26.73,9.13,12.46,2.26,0,0.73,0.99,3.42,2.3
67,F,4,2,0,B-FD-P,0,0,2,0,0,0,0,0,4.12,0.69,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,41.34,26.17,6.58,19.38,11.52,10.63,0,0,12.35,0,23.46,0,0,0,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,2.76,4.7,0,31.83,9.05,4.32,5.91,14.43,0,25.95,3.7,27.91
68,F,8,1,1,FD-B-P,0,0,0,1,0,1,1.66,6.12,2.05,20.61,0,19.42,17.88,25.71,4.45,12.72,16.67,7.44,0,0,0,0,0,0,21.19,7.76,56.51,20.18,48.69,0,2.32,2.45,4.79,3.51,3.59,6.2,8.94,37.14,7.88,21.05,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85,3.95,7.95,12.65,7.19,0,15.69,10.74,15.23,6.53,0,9.21,12.09,1.65
69,F,2.5,3,0,P-B-FD,0,3,1,0,2,0,0,0,0,0,5.86,0,6.72,0,0,0.33,4.69,0,17,0,25,38.11,0,4.19,52.17,5.57,1.61,23.78,35.55,64.19,0,1.97,14.11,12.38,24.22,0,0,0,13.31,3.26,2.73,2.58,0,0,0,0,0,0,0,0,0,0,0,0,33.99,7.87,0.81,2.61,6.64,5.48,27.42,3.26,4.35,0,38.31,30.94,0,0.97,2.77,1.31,4.44,30.94,4.3,2.26
70,F,7,3,1,P-B-FD,0,2,0,0,4,4,0,0,0,0,0,1.16,0,0,0,0,0,4.25,0,0,0,0,0,0,0.99,61.96,0,14.57,69.38,54.83,0,1.96,0.99,9.45,14.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,0,3.15,9.45,10.04,0,8.24,0,3.15,5.54,0
71,F,8,3,1,P-B-FD,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,21.07,4.59,0,0,0,0,0,0,0,37.58,89.31,6.29,50,69.84,88.54,0,0,0,0,0,2.37,0,0,3.64,11.57,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,41.06,7.85,5.25,0,0,0,0.98,3.05,3.64,0,0,0,7.52,0,0,0,0,0
72,M,2.5,2,0,B-FD-P,0,1,1,2,0,1,1.98,1,0,0,0,0,3.57,0,0,6.58,1.59,0,0,4.01,0,0,0,0,70.24,58.19,2.95,29.78,31.87,41.04,0,0,29.96,0.94,2.79,6.19,0,0,18.57,19.44,24.7,1.3,0,0,0,0,6.37,0,0,0,0,0,0,0,0,4.01,0,0,1.59,0,35.86,10.66,0,12.37,8.86,13.17,1.99,1.95,0,4.01,3.8,13.17,0,46.58
